time,energy
379365256.165931,7961
379365260.052473,1121
379365260.112495,12784
379365261.784214,2394
379365265.082658,3452
379365263.778082,519
379365266.362495,3805
379365268.764079,4017
379365268.303569,1190
379365271.718848,3718
379365274.503454,3451
379365276.922421,3930
379365279.678041,301
379365280.273785,533
379365281.374971,3130
379365284.289323,3152
379365286.204402,2589
379365286.73739,12403
379365290.294964,408
379365289.970172,5704
379365293.603664,7099
379365294.648509,1359
379365298.752999,84
379365297.357805,6762
379365299.727263,6922
379365301.912678,1151
379365303.427782,3619
379365305.174562,12749
379365309.711447,5883
379365309.762758,361
379365314.345733,8481
379365317.49333,1616
379365318.467832,12668
379365320.431988,1255
379365320.969042,437
379365323.468654,131
379365325.484474,12628
379365327.305348,12726
379365330.453742,6346
379365333.016999,526
379365334.421268,11276
379365337.520331,514
379365337.295733,12915
379365338.775257,985
379365341.394364,844
379365345.926232,1991
379365348.744368,4531
379365350.056732,8913
379365353.097466,1139
379365353.248943,533
379365355.388047,1160
379365357.680187,1820
379365361.360717,1964
379365359.251128,658
379365363.81236,1477
379365366.159265,12991
379365367.864879,273
379365371.349221,1986
379365370.641424,12652
379365374.061277,6369
379365377.177731,1718
379365379.405406,452
379365381.999873,12591
379365384.658118,3669
379365387.148411,6744
379365385.444724,114
379365388.964658,12619
379365392.236828,12693
379365394.913295,3693
379365397.708578,2491
379365398.384178,103
379365399.214991,2297
379365401.142747,415
379365401.462395,12596
379365403.635142,12746
379365407.350157,12772
379365409.985029,524
379365413.26481,6035
379365414.00104,238
379365414.638861,1866
379365417.569181,12588
379365419.044453,7046
379365425.544002,3293
379365426.021716,2220
379365428.800822,910
379365431.204888,1962
379365433.285918,1440
379365435.581506,905
379365435.343458,5533
379365438.030755,5708
379365441.570698,1542
379365440.362677,919
379365443.116302,648
379365446.033696,810
379365449.348325,742
379365450.235889,1608
379365453.15446,949
379365454.686218,12364
379365456.732345,1796
379365458.105906,12906
379365461.85709,7489
379365460.713158,9380
379365465.318045,1431
379365467.02769,2481
379365465.858913,3339
379365469.632594,109
379365472.422014,979
379365475.864107,2803
379365475.985219,12920
379365477.345868,672
379365481.111491,95
379365481.531175,10989
379365485.47091,1011
379365487.995231,3456
379365489.815055,6008
379365492.541135,12395
379365494.78938,444
379365497.219214,11849
379365500.54166,6827
379365503.88347,3493
379365504.97265,2437
379365508.279869,3751
379365510.637256,1142
379365512.638723,636
379365512.713139,10267
379365516.270063,1805
379365519.653408,872
379365524.790777,7075
379365524.258663,793
379365530.301116,12806
379365528.771822,3538
379365531.829198,12408
379365535.250888,2427
379365537.917778,492
379365539.548561,12400
379365542.151962,12353
379365541.733594,818
379365545.799436,514
379365547.735378,4784
379365554.144833,10823
379365553.705725,1423
379365556.13361,2320
379365558.471034,3217
379365560.743501,1750
379365561.26957,190
379365563.119919,12398
379365567.082595,12211
379365567.322467,180
379365570.98375,1339
379365573.624506,12534
379365575.79601,12325
379365577.274667,4182
379365578.838716,13005
379365582.646133,2433
379365585.079141,12361
379365587.0135,2122
379365587.743031,118
379365590.030267,7612
379365592.816926,1535
379365594.103383,12350
379365595.344018,5987
379365596.757836,12332
379365599.032586,11892
379365600.404366,778
379365602.655303,1339
379365604.343477,114
379365606.570565,526
379365609.653744,981
379365611.548169,521
379365615.010511,10171
379365618.948826,4046
379365619.302853,12148
379365622.657738,1798
379365622.971378,12266
379365626.660418,2643
379365625.186553,12323
379365628.307799,12371
379365632.129165,8161
379365630.484616,4328
379365633.089348,12256
379365633.41131,12307
379365634.983825,1944
379365637.491936,12454
379365641.816878,849
379365641.929498,11070
379365643.186804,12309
379365645.31885,12277
379365649.98581,4093
379365648.109264,387
379365650.47191,5336
379365655.003964,7798
379365657.413743,1701
379365655.676794,2500
379365662.48518,12223
379365661.910606,12283
379365665.48878,12572
379365664.922881,12324
379365667.045279,893
379365668.630557,7626
379365671.158214,4377
379365671.263008,400
379365676.318007,2356
379365675.390992,12356
379365676.719292,12331
379365679.465883,1621
379365681.809612,4727
379365685.551341,11435
379365685.880086,12396
379365688.277113,6140
379365687.222631,4430
379365689.609266,131
379365693.721541,85
379365695.659296,12333
379365695.646958,3368
379365699.270807,206
379365700.677143,12296
379365701.327505,976
379365704.576041,6693
379365707.0953,9179
379365705.683025,1739
379365709.0252,3612
379365707.764684,8627
379365711.186403,12447
379365713.205142,6126
379365714.609326,1524
379365716.176503,7491
379365716.255357,5262
379365718.981722,4588
379365721.651116,471
379365724.757151,209
379365724.026781,12424
379365727.466172,12316
379365728.246152,3641
379365729.64937,5503
379365728.810179,9533
379365731.486041,6085
379365732.566894,1244
379365733.859161,3095
379365735.769137,12358
379365735.564569,2503
379365737.816126,6262
379365739.163108,1591
379365742.43278,1144
379365743.342875,12407
379365743.015031,12434
379365745.239495,1043
379365747.405931,5396
379365746.845868,3805
379365751.648548,7955
379365753.133453,2033
379365756.072472,4711
379365756.665689,12398
379365757.26632,9280
379365760.158026,12355
379365760.934661,13009
379365760.785571,12409
379365763.011782,184
379365765.010965,497
379365765.060859,166
379365766.819339,12641
379365769.243458,12478
379365770.573238,2558
379365772.112869,12539
379365775.076279,12627
379365774.556365,10542
379365777.034363,5602
379365775.855218,6178
379365780.338963,330
379365780.73071,12578
379365782.485288,3111
379365783.126368,8809
379365784.359742,223
379365786.235317,12491
379365788.431819,12403
379365789.450576,7253
379365792.623691,12445
379365793.115994,9709
379365794.393188,8360
379365796.795276,12440
379365800.128794,844
379365799.922792,151
379365802.90519,12423
379365801.304249,5886
379365802.043914,122
379365805.10726,5413
379365807.175486,12435
379365809.322253,12384
379365809.457449,12523
379365810.413248,2131
379365813.623226,12017
379365814.134326,3022
379365816.23023,5551
379365816.586787,12533
379365818.770635,5880
379365821.432819,12506
379365823.874614,1474
379365825.986913,12450
379365825.728878,94
379365825.472456,2305
379365828.805701,12473
379365827.745804,12738
379365831.593983,10780
379365833.286262,12530
379365837.293412,5710
379365839.176901,1698
379365839.355054,12573
379365842.394976,8759
379365840.453219,6401
379365844.956038,760
379365846.018544,12542
379365848.663763,9820
379365850.374498,12576
379365852.409883,12663
379365854.019178,3158
379365858.061665,11724
379365856.870316,1798
379365860.597823,5322
379365858.476423,12648
379365861.501762,9754
379365862.60752,5058
379365863.779419,8413
379365865.035545,963
379365867.717462,3958
379365868.192832,12616
379365870.442893,223
379365872.630483,166
379365871.54284,1385
379365874.769545,1790
379365878.666427,4562
379365878.539825,9731
379365879.727928,12668
379365880.949989,4179
379365879.36352,12726
379365882.348501,12637
379365885.348687,4048
379365888.927303,2614
379365892.14006,8978
379365889.593405,620
379365890.398466,9556
379365893.582061,10044
379365892.67673,12653
379365895.524073,12558
379365896.47801,1362
379365899.12586,4762
379365899.171936,13102
379365901.886324,3403
379365902.007827,469
379365903.986721,12569
379365903.942238,9790
379365906.576135,438
379365908.39691,1337
379365908.458838,4602
379365909.208043,615
379365912.147365,455
379365912.07895,982
379365913.073532,2914
379365916.893018,6528
379365916.500664,10174
379365920.260197,12629
379365922.332213,560
379365924.537886,6206
379365923.604545,9332
379365926.503055,867
379365926.744487,1747
379365926.079741,169
379365930.293608,1187
379365933.35651,2397
379365936.335198,4516
379365935.261609,3663
379365938.619079,12632
379365939.382114,12592
379365939.333044,12654
379365942.022012,210
379365943.801442,1054
379365946.620785,532
379365944.621772,628
379365947.806502,6346
379365947.437171,9968
379365951.789083,10904
379365952.26454,4252
379365952.315142,12679
379365956.785491,9673
379365956.369487,11325
379365959.514493,2449
379365958.247688,1474
379365960.940568,7889
379365964.079844,12636
379365963.531064,1406
379365967.297517,12829
379365965.360331,8712
379365967.616588,5591
379365970.960493,1664
379365970.313517,10220
379365973.026622,8467
379365974.181555,907
379365976.821425,13336
379365978.372128,5325
379365979.597443,2108
379365979.647496,7096
379365982.40308,12839
379365985.441286,969
379365986.243361,1673
379365987.390422,1601
379365989.64416,4092
379365993.325619,12695
379365994.148775,6539
379365994.184675,12743
379365998.534756,1234
379365997.696721,4485
379366000.404569,4229
379366003.253965,1258
379366005.402709,3676
379366003.998521,4011
379366007.055389,12703
379366010.794095,12013
379366013.668192,536
379366012.993489,10814
379366016.556603,2229
379366017.403016,1308
379366021.675608,6062
379366020.163395,719
379366022.298307,12722
379366026.258602,12744
379366028.070978,12706
379366028.320125,560
379366027.873317,8761
379366031.694048,2305
379366033.688455,4669
379366033.556521,1098
379366037.680733,12819
379366038.232028,2893
379366041.737523,4300
379366042.122122,2710
379366043.503567,1750
379366045.758152,3180
379366049.943826,4824
379366049.286418,7108
379366052.708774,450
379366055.33358,192
379366054.448994,2178
379366056.172505,12330
379366059.109097,12768
379366059.341345,5957
379366062.603984,12939
379366063.962845,1341
379366067.737947,12572
379366070.60542,2460
379366071.420858,2995
379366073.984295,3026
379366074.511363,12795
379366075.484585,13004
379366077.385996,2654
379366081.644196,12799
379366080.51535,12455
379366083.567742,12867
379366084.657001,2621
379366088.307342,1651
379366088.003446,12863
379366091.72918,2179
379366090.993642,5944
379366092.51429,13006
379366096.812346,1986
379366100.584322,2295
379366101.651713,535
379366102.975624,1292
379366107.819935,1293
379366108.250684,1943
379366110.302943,12902
379366112.522676,12860
379366115.589135,681
379366113.881048,1890
379366118.089205,6298
379366120.484351,1268
379366121.278862,3793
379366121.316057,11443
379366125.363206,12840
379366126.649657,939
379366130.354463,2500
379366130.128884,5272
379366132.343322,12940
379366137.454208,1414
379366136.777552,7828
379366142.259113,3554
379366145.965563,3498
379366147.196769,12860
379366149.157608,3819
379366149.541154,12934
379366153.482072,6180
379366153.102977,7733
379366155.582289,12913
379366155.579751,12357
379366157.414473,1446
379366159.003529,12967
379366162.288974,112
379366165.084594,12885
379366163.906429,9354
379366165.868271,7764
379366169.013695,13015
379366172.656149,12880
379366172.418335,3149
379366174.048626,12929
